DDCTransactionId9609D2B34B4C928C6CB5C6BCD608AF51_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2016.03.21-14.55.27, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=1.185432ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionId5034AC36456AE2A81D2390898703781E_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C45F0F7D439FAD52041B1EBC5A8A1__FC5A29F424836F67547AB1BC14246603821353B4, StartTime=2016.03.21-14.55.27, HierarchicalDDC, DataSize=1186 bytes, Retrieved=true, Duration=0.033014ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionIdE868B00E483922BA85F396A5CFDD9E14_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___AFD2E7B6C000DBB57C3C2251719C132A8B58702E, StartTime=2016.03.21-14.55.27, HierarchicalDDC, DataSize=6591 bytes, Retrieved=true, Duration=0.035789ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionId5561FDE541D0B1DF7656FC99945AE597_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__FBBDD204E59CC3E3C9749161169905E65779DA9A, StartTime=2016.03.21-14.55.27, HierarchicalDDC, DataSize=6899 bytes, Retrieved=true, Duration=0.056870ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionIdE868B00E483922BA85F396A5CFDD9E14_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___018F4075D3397499A38D84DACDCE819C495D7211, StartTime=2016.03.21-14.55.27, HierarchicalDDC, Duration=0.014149ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionId5561FDE541D0B1DF7656FC99945AE597_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__A862D430A5BD3851806098886F46A0DB4C02712D, StartTime=2016.03.21-14.55.27, HierarchicalDDC, Duration=0.020251ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionIdE868B00E483922BA85F396A5CFDD9E14_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___1978717988CE205C32B2214CC1D518693DF7C4D6, StartTime=2016.03.21-14.55.27, HierarchicalDDC, Duration=0.010543ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionId5561FDE541D0B1DF7656FC99945AE597_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__5D8E67CBA0F04E790BD64833DFE9997DDB1D33F0, StartTime=2016.03.21-14.55.27, HierarchicalDDC, Duration=0.017755ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionId5561FDE541D0B1DF7656FC99945AE597_3, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__D3B9066E064FF8485C582FA787D958A7AE111964, StartTime=2016.03.21-14.55.27, HierarchicalDDC, Duration=0.014149ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionId5034AC36456AE2A81D2390898703781E_1, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__CA89507B8D820F4BC2690ECA204279B9555C9728, StartTime=2016.03.21-14.55.27, HierarchicalDDC, DataSize=4452 bytes, Retrieved=true, Duration=0.034958ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionIdE868B00E483922BA85F396A5CFDD9E14_3, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__BC764A2C9EE4304B0C67B21817404693E1F7E028, StartTime=2016.03.21-14.55.27, HierarchicalDDC, DataSize=3559 bytes, Retrieved=true, Duration=0.036895ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionId5034AC36456AE2A81D2390898703781E_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__4CE82FE331674843D9D63FF6A48098076A341066, StartTime=2016.03.21-14.55.27, HierarchicalDDC, Duration=0.031628ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
DDCTransactionId5034AC36456AE2A81D2390898703781E_3, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__E2E37627513408BF1569A25F4D84185B4CD2360C, StartTime=2016.03.21-14.55.27, HierarchicalDDC, Duration=0.013314ms, RunGuid=RunID1EDEB6F74DE6E2540E70B38BC937120E
